,Unnamed: 0,source,name,neighborhood_overview,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count
862,862,city scrape,Casita Anita: Adorable Studio in Caye Caulker,,448967763,2022-03-10,,,f,"['email', 'phone']",t,f,Belize Islands,Belize,17.74654,-88.02448,Entire guest suite,Entire home/apt,2,1.0,0.0,1.0,"[""Fire extinguisher"", ""Smoke alarm"", ""Keypad"", ""TV"", ""Air conditioning"", ""Exterior security cameras on property"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""Self check-in""]",$137.00,2,30,,20,49,79,79,2025-03-23,48,16,1,79,14,96,13152.0,2023-01-14,2025-03-08,4.81,4.83,4.79,4.9,4.79,4.9,4.71,,f,1
1313,1313,city scrape,Oceanfront Condo C2- Pool/Jacuzzi/heart of Town,"Diamante is located on the South end of town and a stone’s throw from the island’s airstrip and next door to the famous, The Blue Water Grill. Right on the corner heading to the main street, there is Walk- Mart Supermarket where you can shop all variety of groceries. Infront of Walk Mart there is Carlo & Ernie’s Runway bar, enjoy a great meal while having the view of the San Pedro Airstrip. And looking for an ATM? At the Sancas Plaza which is in front of the Tropic air Airport (3mins walking from US) there is an ATM. Being located in the heart of San Pedro is convenient to our guest since you will have access to amazing restaurants with amazing views, steps away from all the activity in Town and from dive shops for a numerous list of excursions you can do.",435219161,2021-12-08,,,f,['phone'],t,f,Belize Islands,Belize,17.916719,-87.963971,Entire condo,Entire home/apt,4,2.0,2.0,2.0,"[""Elevator"", ""Ethernet connection"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Toaster"", ""Waterfront"", ""Cooking basics"", ""Hangers"", ""Hot water"", ""Central air conditioning"", ""Wifi"", ""Electric stove"", ""Host greets you"", ""Shampoo"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Hot water kettle"", ""Essentials"", ""Shower gel"", ""First aid kit"", ""Coffee maker: drip coffee maker"", ""Patio or balcony"", ""TV"", ""Safe"", ""Blender"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Coffee"", ""Free parking on premises"", ""Dishwasher"", ""Fire extinguisher"", ""Freezer"", ""Smoke alarm"", ""Dining table"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Private entrance"", ""Ceiling fan""]",$951.00,1,1125,t,16,46,76,308,2025-03-23,10,0,0,230,0,0,0.0,2021-03-15,2023-03-28,5.0,4.7,5.0,4.8,5.0,5.0,4.9,,t,1
1482,1482,city scrape,Borland Island Cabin,"Close to L K MARKET in Bahia Puesta del Sol,, Caye Caulker",382875785,2021-01-03,within an hour,100%,f,"['email', 'phone']",t,t,Belize Islands,Belize,17.73835,-88.0316,Entire home,Entire home/apt,5,1.0,2.0,3.0,"[""Ethernet connection"", ""Bed linens"", ""Indoor fireplace: electric"", ""Kitchen"", ""Wine glasses"", ""Maybe  stainless steel gas stove"", ""Luggage dropoff allowed"", ""Bluetooth sound system"", ""Hair dryer"", ""Cleaning products"", ""Toaster"", ""Oster oven"", ""Dryer"", ""Waterfront"", ""Cooking basics"", ""Washer"", ""Hangers"", ""Hot water"", ""Window AC unit"", ""Portable fans"", ""Wifi"", ""Shampoo"", ""Iron"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hammock"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Bathtub"", ""First aid kit"", ""Baking sheet"", ""Coffee maker: drip coffee maker"", ""TV"", ""Shared beach access"", ""Microwave"", ""Coffee"", ""Lockbox"", ""Free parking on premises"", ""Clothing storage: closet and dresser"", ""Self check-in"", ""Fire extinguisher"", ""Freezer"", ""Smoke alarm"", ""Dining table"", ""Sea view"", ""Park view"", ""Drying rack for clothing"", ""Exterior security cameras on property"", ""Private entrance"", ""Maybe  refrigerator""]",$112.00,2,1125,t,4,28,58,147,2025-03-23,23,9,2,147,6,54,6048.0,2021-11-09,2025-03-17,4.74,4.68,4.83,4.96,5.0,4.26,4.7,,f,1
1517,1517,city scrape,Modern apartment with pool and rooftop lounge area,,572875223,2024-04-17,within an hour,100%,f,"['email', 'phone']",t,t,Belize Islands,Belize,17.74098,-88.02706,Entire condo,Entire home/apt,4,2.0,2.0,2.0,"[""Ethernet connection"", ""Dedicated workspace"", ""55 inch HDTV with Amazon Prime Video, Netflix"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Cleaning products"", ""Toaster"", ""Shared backyard \u2013 Fully fenced"", ""Cooking basics"", ""Hangers"", ""Hot water"", ""Central air conditioning"", ""Wifi"", ""Shampoo"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Shower gel"", ""Stainless steel gas stove"", ""Private patio or balcony"", ""First aid kit"", ""Bikes"", ""Coffee maker: drip coffee maker"", ""Outdoor shower"", ""Stainless steel oven"", ""Safe"", ""Blender"", ""Shared outdoor pool - available all year, open 24 hours"", ""Microwave"", ""Free parking on premises"", ""Clothing storage: walk-in closet"", ""Dishwasher"", ""Fire extinguisher"", ""Freezer"", ""Smoke alarm"", ""Dining table"", ""Outdoor furniture"", ""Body soap"", ""Ceiling fan"", ""Garden view""]",$388.00,2,365,t,15,37,67,311,2025-03-23,36,19,5,231,14,114,44232.0,2022-05-29,2025-03-14,4.97,4.94,4.94,4.97,4.97,4.72,4.97,,t,6
1519,1519,city scrape,"Slice of Paradise - peaceful, tranquil, charming.",,389820570,2021-02-23,within an hour,90%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.9792,-87.92459,Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,"[""BBQ grill"", ""Boat slip"", ""Backyard"", ""Air conditioning"", ""Bed linens"", ""Mini fridge"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Stove"", ""Toaster"", ""Waterfront"", ""Cooking basics"", ""Hangers"", ""Hot water"", ""Wifi"", ""Iron"", ""Dishes and silverware"", ""Essentials"", ""Long term stays allowed"", ""First aid kit"", ""Patio or balcony"", ""Safe"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Free parking on premises"", ""Dishwasher"", ""Fire extinguisher"", ""Smoke alarm"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Ceiling fan"", ""Coffee maker""]",$247.00,3,1125,t,13,38,68,338,2025-03-23,84,15,3,257,19,90,22230.0,2021-04-10,2025-03-11,4.81,4.74,4.69,4.85,4.83,4.86,4.8,,f,2
1520,1520,city scrape,2nd Floor Beachfront Casita with Private Balcony!,,389820570,2021-02-23,within an hour,90%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.97939,-87.92451,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""BBQ grill"", ""Dedicated workspace"", ""Air conditioning"", ""Hair dryer"", ""Resort access"", ""Outdoor dining area"", ""Cooking basics"", ""Ocean view"", ""Wifi"", ""Refrigerator"", ""Iron"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Patio or balcony"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Free parking on premises"", ""Fire extinguisher"", ""Beach view"", ""Smoke alarm"", ""Sea view"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Coffee maker""]",$233.00,3,1125,t,17,45,75,350,2025-03-23,77,12,1,269,14,72,16776.0,2021-04-03,2025-02-24,4.71,4.69,4.75,4.66,4.71,4.69,4.71,,f,2
1526,1526,previous scrape,Antiques Cabin,,391400143,2021-03-06,,,f,"['phone', 'work_email']",t,f,Cayo,Cayo,17.15661,-89.07408,Entire cabin,Entire home/apt,6,,4.0,,"[""Dryer"", ""Dedicated workspace"", ""Washer"", ""Breakfast"", ""Pets allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Gym"", ""Smoking allowed"", ""Wifi"", ""Kitchen"", ""Private entrance"", ""Shampoo"", ""Iron"", ""Hair dryer"", ""Essentials""]",,1,364,,0,0,0,0,2025-03-23,0,0,0,0,0,0,,,,,,,,,,,,f,1
1549,1549,previous scrape,White sand beaches and pristine coral reef awaits.,,394697923,2021-03-29,,,f,"['email', 'phone']",t,f,Belize Islands,Belize,18.04343,-87.89508,Entire guesthouse,Entire home/apt,2,,,,"[""Dedicated workspace"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Kayak"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Cleaning products"", ""Waterfront"", ""Cooking basics"", ""Pets allowed"", ""Hot water"", ""Pool"", ""Wifi"", ""Coffee maker"", ""Shampoo"", ""Iron"", ""Dishes and silverware"", ""Essentials"", ""Long term stays allowed"", ""Patio or balcony"", ""Beach access \u2013 Beachfront"", ""Free parking on premises"", ""Fire extinguisher"", ""Freezer"", ""Smoke alarm"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Body soap"", ""Private entrance"", ""Ceiling fan"", ""TV with standard cable""]",,30,1125,,0,0,0,0,2025-03-23,3,0,0,0,0,0,,2021-05-05,2021-07-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1
1551,1551,city scrape,Home away from Home in peace and tranquility.,"The neighborhood of Sunset Park, Western Paradise is very quiet with very few friendly, surrounding neighbors.",395254644,2021-04-02,,,f,"['email', 'phone']",t,t,Belize Mainland,Belize,17.47359,-88.3005,Entire home,Entire home/apt,6,1.0,3.0,3.0,"[""Extra pillows and blankets"", ""Smoking allowed"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Bluetooth sound system"", ""Hair dryer"", ""Cleaning products"", ""Stove"", ""Toaster"", ""Cooking basics"", ""55 inch HDTV with standard cable"", ""Pets allowed"", ""Free washer \u2013 In building"", ""Hot water"", ""Central air conditioning"", ""Portable fans"", ""Wifi"", ""Coffee maker: Keurig coffee machine"", ""Shampoo"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Host greets you"", ""Hot water kettle"", ""Essentials"", ""Private backyard \u2013 Fully fenced"", ""Free street parking"", ""Shower gel"", ""Long term stays allowed"", ""First aid kit"", ""Single level home"", ""Stainless steel oven"", ""Blender"", ""Microwave"", ""Coffee"", ""Free parking on premises"", ""Fire extinguisher"", ""Conditioner"", ""Dining table"", ""Drying rack for clothing"", ""Exterior security cameras on property"", ""Body soap"", ""Ceiling fan""]",$252.00,3,100,t,30,60,90,365,2025-03-23,1,0,0,284,0,0,0.0,2023-12-08,2023-12-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1
1575,1575,previous scrape,See Belize SEAVIEW Studio.Aparment,,397570448,2021-04-18,,,f,"['email', 'phone']",t,f,Belize Mainland,Belize,17.5058,-88.20161,Private room in rental unit,Private room,2,,1.0,,"[""BBQ grill"", ""Pocket wifi"", ""Dedicated workspace"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Cleaning products"", ""Stove"", ""Outdoor dining area"", ""Waterfront"", ""Cooking basics"", ""Washer"", ""Hot water"", ""Oven"", ""Pool"", ""Wifi"", ""Refrigerator"", ""Shampoo"", ""Long term stays allowed"", ""Bathtub"", ""TV"", ""Microwave"", ""Free parking on premises"", ""Dishwasher"", ""Freezer"", ""Conditioner"", ""Dining table"", ""Drying rack for clothing"", ""Clothing storage"", ""Body soap""]",,1,1125,,0,0,0,0,2025-03-23,0,0,0,0,0,0,,,,,,,,,,,,f,1
