,Unnamed: 0,source,name,neighborhood_overview,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count
0,0,city scrape,Mo's Cozy Cabana,"The cabana is just a moments walk to 'The Split', where the island is split in two and which is the most popular spot for swimming, snorkeling or to have a drink at the famous bar 'the Lazy Lizard'. The main street -Front Street- is right around the corner. Here you'll find several restaurants, supermarkets, souvenir shops and food- and fruit stands. The many local people you meet are always in for a chat. The part of the island where the cabana is located is only 100 yards wide so the sea & beach are always nearby.",157752,2010-07-03,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.74832,-88.02474,Tiny home,Entire home/apt,2,1.0,0.0,1.0,"[""Backyard"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Laundromat nearby"", ""Kayak"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Toaster"", ""Outdoor dining area"", ""Board games"", ""Cooking basics"", ""Hangers"", ""Oven"", ""Portable fans"", ""Wifi"", ""Host greets you"", ""Room-darkening shades"", ""Shampoo"", ""Refrigerator"", ""Dishes and silverware"", ""Hammock"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Gas stove"", ""Shower gel"", ""Free street parking"", ""Private patio or balcony"", ""First aid kit"", ""Single level home"", ""Coffee maker: drip coffee maker"", ""Books and reading material"", ""Coffee"", ""Beach essentials"", ""Fire extinguisher"", ""Freezer"", ""Conditioner"", ""Mosquito net"", ""Smoke alarm"", ""Dining table"", ""Outdoor furniture"", ""Body soap"", ""Private entrance"", ""Clothing storage: closet""]",$100.00,3,60,t,4,9,15,227,2025-03-23,461,36,2,159,34,216,21600.0,2010-08-13,2025-03-13,4.82,4.83,4.79,4.96,4.94,4.92,4.88,,f,4
200,200,city scrape,"BEACH and OCEAN VIEW! SECRET BEACH CABANAS, Green","Our cabanas are a steps to the crystal blue waters of Secret Beach, Take a complimentary hammock float and walk a short distance to water access. We have a bar and grill on our property serving breakfast, lunch and dinner. There are also a handful of bars and restaurants located in walking distance., some of which offer paddle boards and kayaks for you use with a purchase. The beach has crystal blue waters to enjoy. There is a water park nearby with water fun rentals. You can rent jet skis or take a fishing/snorkeling trip nearby as well. Enjoy the beach and beautiful waters of Secret Beach! Come enjoy this island paradise! A perfect place of relaxation and fun! Fun during the day, sunsets and stargazing at night, a perfect balance!  We are a 30-40 minute golf cart ride from the main town of San Pedro.",55546205,2016-01-21,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.97316,-87.9717,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,"[""Ethernet connection"", ""Bed linens"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Waterfront"", ""Board games"", ""Breakfast"", ""Shared beach access \u2013 Beachfront"", ""Hangers"", ""Hot water"", ""Portable fans"", ""Wifi"", ""Shampoo"", ""Hammock"", ""Essentials"", ""Long term stays allowed"", ""Free street parking"", ""Shower gel"", ""Cleaning available during stay"", ""Private patio or balcony"", ""First aid kit"", ""Books and reading material"", ""Fire pit"", ""Free parking on premises"", ""Beach essentials"", ""Self check-in"", ""Fire extinguisher"", ""Beach view"", ""Building staff"", ""Smoke alarm"", ""Sea view"", ""Clothing storage"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Body soap"", ""Private entrance"", ""Ceiling fan""]",$209.00,2,1125,t,11,32,57,312,2025-03-23,236,23,1,231,27,138,28842.0,2016-07-12,2025-03-09,4.88,4.88,4.93,4.93,4.98,4.86,4.86,,f,4
400,400,city scrape,Hidden Treasure Vacation Home: Bayblue Cottage,"Bayblue is located on the north west side of our beautiful island nestled at the end of a no trough street. All the properties in this are use primarily for the accommodation business makings this area the most quiet, clean and peaceful area on the island. It gives the impression your alone in the tropics enjoying the ambiance, stoking up the sun rays and breeze all by yourself.",127097068,2017-04-22,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.73992,-88.02828,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Bay view"", ""Air conditioning"", ""Kitchen"", ""Wine glasses"", ""Hair dryer"", ""Stove"", ""Toaster"", ""Cooking basics"", ""Hangers"", ""Hot water"", ""Oven"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Refrigerator"", ""Iron"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hammock"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Long term stays allowed"", ""Private patio or balcony"", ""First aid kit"", ""Bikes"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Free parking on premises"", ""Fire extinguisher"", ""Beach view"", ""Smoke alarm"", ""Sea view"", ""Private entrance"", ""BBQ grill: charcoal"", ""TV with standard cable"", ""Harbor view""]",$309.00,2,90,t,13,38,68,319,2025-03-23,84,13,0,243,13,78,24102.0,2017-10-31,2025-02-15,4.99,4.96,5.0,4.99,4.96,4.88,4.95,,f,4
600,600,city scrape,Sail away on a vintage pirate sailboat!,"The Old Belize Marina sits right on the George Price Highway and very easy to find. Drive to Belize city (take a taxi, rent a car or take a bus - there are plenty passing by, raise your hand. Please mind that if it is an Express bus it won’t stop) and explore the old capital, there are some great restaurants in the area, lots of places to see and walk. <br />As for the best part - you are couple hours sail away from the best snorkeling places in Belize where you won’t have to stay in line or follow the crowd - you will be all alone where ever we go! We can visit Goffs Caye, St George’s Caye or go to Caye Caukler or Ambergris Caye; Hideaway Caye - eat some fresh catch or swim in the untouched coral reef all around, pirate caye of King Lewey, South water Caye, Tobacco Caye, Thatch Caye, Ray Caye, Long Coco Caye etc! All there just for you! Unlimited snorkeling - captain knows some great spots and can either give you the freedom of exploring on your own or accompany you on that adventure!",57457406,2016-02-04,within a day,100%,f,"['email', 'phone']",t,t,Stann Creek Mainland,Stann Creek,16.85456,-88.28094,Boat,Entire home/apt,2,1.0,1.0,8.0,"[""Boat slip"", ""Extra pillows and blankets"", ""Bay view"", ""Bed linens"", ""Mini fridge"", ""Kitchen"", ""Wine glasses"", ""Kayak"", ""Cleaning products"", ""Marina view"", ""Stove"", ""Shared backyard"", ""Waterfront"", ""Cooking basics"", ""Keypad"", ""Hangers"", ""Cruelty Free body soap"", ""Not sure shampoo"", ""Dishes and silverware"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Free street parking"", ""Shower gel"", ""River view"", ""First aid kit"", ""Coffee maker: drip coffee maker, pour-over coffee"", ""Books and reading material"", ""Outdoor shower"", ""Patio or balcony"", ""Canal view"", ""Beach access \u2013 Beachfront"", ""Coffee"", ""Free parking on premises"", ""Beach essentials"", ""Self check-in"", ""Fire extinguisher"", ""Conditioner"", ""Mosquito net"", ""Sea view"", ""Clothing storage: dresser"", ""Children\u2019s books and toys"", ""Ceiling fan"", ""Harbor view""]",$726.00,2,1125,t,25,55,85,265,2025-03-23,91,1,0,265,3,6,4356.0,2018-01-09,2024-10-14,4.79,4.88,4.93,4.92,4.96,4.76,4.81,,t,1
800,800,city scrape,The Great House Inn,"The Great House Inn is located in the historic Fort George Area: The Fort George area, a peninsula ringed by Marine Parade Boulevard and Fort Street, is one of the most pleasant in Belize City. Meander in the neighborhood and you’ll pass some impressive homes and buildings, including The Great House Inn now the only colonial guest house. The Baron Bliss Memorial and Fort George Lighthouse stand guard over it all.  Towering over the coastline and facing the Belize Harbor, the Fort George Lighthouse was built as part of the memorial for Baron Bliss, Belize’s greatest benefactor. In fulfillment of his dying wish and financed with the generous proceeds he left the country, the tall structure was erected next to his tomb and memorial. While the public cannot enter the lighthouse, it remains an important, historic landmark in Belize City and is easy to spot while touring the Fort George area. The views from there also make for a nice photo op.<br /><br />The sea breeze can be pleasant here, ",217770661,2018-09-28,within an hour,100%,f,"['email', 'phone']",t,t,Belize Mainland,Belize,17.49191,-88.18247,Room in boutique hotel,Private room,2,1.0,1.0,1.0,"[""Ethernet connection"", ""Dedicated workspace"", ""Backyard"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bed linens"", ""Mini fridge"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Crib - available upon request"", ""Outdoor dining area"", ""Hangers"", ""Hot water"", ""Wifi"", ""Shampoo"", ""Iron"", ""Essentials"", ""Cleaning available during stay"", ""Bathtub"", ""First aid kit"", ""Patio or balcony"", ""TV"", ""Safe"", ""Free parking on premises"", ""Clothing storage: closet and dresser"", ""Sun loungers"", ""Fire extinguisher"", ""Smoke alarm"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Body soap"", ""Ceiling fan"", ""Coffee maker"", ""Shared outdoor pool - available all year, open specific hours, saltwater""]",$180.00,1,7,t,30,60,90,364,2025-03-23,106,12,1,283,14,72,12960.0,2019-01-21,2025-02-22,4.7,4.83,4.87,4.84,4.74,4.72,4.7,,f,1
1000,1000,city scrape,Charming 1BR Mayan Falls 2nd-Floor | Balcony,,76414486,2016-06-07,within an hour,98%,f,"['email', 'phone']",t,t,Belize Islands,Belize,17.73703,-88.02834,Private room in home,Private room,2,1.0,1.0,2.0,"[""Dedicated workspace"", ""Backyard"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Hangers"", ""Hot water"", ""Pool"", ""Wifi"", ""Coffee maker"", ""Refrigerator"", ""Shampoo"", ""Iron"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Essentials"", ""First aid kit"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Fire extinguisher"", ""Smoke alarm"", ""Private entrance"", ""TV with standard cable""]",$99.00,1,1125,t,15,45,75,350,2025-03-23,47,10,1,269,10,60,5940.0,2019-05-20,2025-03-16,4.28,4.36,4.4,4.47,4.62,3.77,4.26,,t,204
1200,1200,city scrape,2 The Beach House - Condo Downtown San Pedro,"Our location is in the heart of San Pedro Town, You’ll be surrounded by the island’s top choice restaurants for great eats, and dive shops with endless activities such as snorkeling, diving, and paddle boarding. Take a walk down the beach and visit local vendors with handmade crafts to take on your trip home with you!",59990092,2016-02-22,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.92032,-87.96104,Entire condo,Entire home/apt,2,1.0,0.0,1.0,"[""Air conditioning"", ""Mini fridge"", ""Kitchen"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Stove"", ""Cooking basics"", ""Ocean view"", ""HDTV with Netflix"", ""Keypad"", ""Hangers"", ""Hot water"", ""Wifi"", ""Room-darkening shades"", ""Shampoo"", ""Iron"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""Shower gel"", ""Shared patio or balcony"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Free parking on premises"", ""Self check-in"", ""Fire extinguisher"", ""Beach view"", ""Smoke alarm"", ""Sea view"", ""Body soap"", ""Private entrance"", ""Ceiling fan"", ""Coffee maker""]",$261.00,2,14,t,3,9,25,269,2025-03-23,225,43,3,192,46,255,66555.0,2019-11-27,2025-03-15,4.92,4.93,4.96,4.87,4.98,4.9,4.91,,f,5
1400,1400,city scrape,1BR | Patio | W/D | Enclosed Yard,,76414486,2016-06-07,within an hour,98%,f,"['email', 'phone']",t,t,Belize Mainland,Belize,17.51291,-88.23199,Entire home,Entire home/apt,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Stove"", ""Dryer"", ""Washer"", ""Hangers"", ""Hot water"", ""Oven"", ""Wifi"", ""Refrigerator"", ""Shampoo"", ""Iron"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""First aid kit"", ""TV"", ""Microwave"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Fire extinguisher"", ""Smoke alarm"", ""Private entrance"", ""Coffee maker""]",$274.00,1,1125,t,30,60,90,365,2025-03-23,7,0,0,284,1,0,0.0,2021-05-25,2024-01-27,4.57,4.71,4.71,5.0,5.0,4.43,4.57,,t,204
1600,1600,previous scrape,Mahogany Bay Village Tiny Homes with Private Pool,"Enjoy a morning latte at the Rum and Bean, then work it off in the yoga studio! Check out the many lunch options in the village including tacos, chicken, or a Steak and Cheese at 501 Fresh. Dinner is fantastic at the Jyoto Japanese restaurant! Explore the island on a golf cart or check out the dive shop for many tour options. The beautiful town of San Pedro has an incredible selection of bars and restaurants and a ton of activities including many live music options.",72404857,2016-05-16,within an hour,100%,f,"['email', 'phone', 'work_email']",t,t,Belize Islands,Belize,17.89817,-87.98549,Tiny home,Entire home/apt,6,,3.0,,"[""Boat slip"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Bed linens"", ""Mini fridge"", ""Kitchen"", ""Cleaning products"", ""Waterfront"", ""Cooking basics"", ""42 inch TV with Netflix"", ""Hangers"", ""Hot water"", ""Wifi"", ""Room-darkening shades"", ""Shampoo"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Long term stays allowed"", ""Shower gel"", ""Single level home"", ""Free washer \u2013 In unit"", ""Central heating"", ""Coffee maker: drip coffee maker"", ""Shared patio or balcony"", ""Private backyard \u2013 Not fully fenced"", ""Canal view"", ""Shared beach access"", ""Microwave"", ""Coffee"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Dishwasher"", ""Fire extinguisher"", ""Microwave Convection Oven oven"", ""Smoke alarm"", ""Private outdoor pool - available all year, open 24 hours"", ""AC - split type ductless system"", ""Outdoor furniture"", ""Body soap"", ""Private entrance"", ""Ceiling fan"", ""Clothing storage: closet""]",,183,365,t,0,0,0,0,2025-03-23,1,0,0,0,0,0,,2022-01-08,2022-01-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,3
1800,1800,previous scrape,Suite-Designer-Ensuite with Shower-Treetops Suite,"Overlooking the Caribbean Sea, The Tree Tops stirs a tasty mélange of Caribbean, Belizean and Italian design elements to create the perfect spot to unwind.<br /><br />The pure, crisp white structure sits within earshot of the Ocean crashing waves.<br /><br />All room have a distinctly Caribbean interior style, with breezy burlap linen curtains and nostalgic yet highly functional overhead ceiling fans.",427948310,2021-10-18,within a day,50%,f,"['email', 'phone']",t,t,Belize Islands,Belize,17.73839,-88.02416,Room in hotel,Private room,2,,1.0,,"[""Backyard"", ""Air conditioning"", ""Bed linens"", ""Private beach access"", ""HDTV"", ""Gym"", ""Hangers"", ""Hot water"", ""Wifi"", ""Room-darkening shades"", ""Shampoo"", ""Hot water kettle"", ""Essentials"", ""Cleaning available during stay"", ""Clothing storage: wardrobe"", ""Patio or balcony"", ""Fire extinguisher"", ""Smoke alarm"", ""Sea view"", ""Private entrance""]",,1,365,t,8,21,48,295,2025-03-23,3,0,0,233,0,0,,2023-01-17,2023-04-13,5.0,5.0,5.0,5.0,5.0,4.33,4.33,,t,8
