,Unnamed: 0,source,name,neighborhood_overview,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count
0,0,city scrape,Mo's Cozy Cabana,"The cabana is just a moments walk to 'The Split', where the island is split in two and which is the most popular spot for swimming, snorkeling or to have a drink at the famous bar 'the Lazy Lizard'. The main street -Front Street- is right around the corner. Here you'll find several restaurants, supermarkets, souvenir shops and food- and fruit stands. The many local people you meet are always in for a chat. The part of the island where the cabana is located is only 100 yards wide so the sea & beach are always nearby.",157752,2010-07-03,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.74832,-88.02474,Tiny home,Entire home/apt,2,1.0,0.0,1.0,"[""Backyard"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Laundromat nearby"", ""Kayak"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Toaster"", ""Outdoor dining area"", ""Board games"", ""Cooking basics"", ""Hangers"", ""Oven"", ""Portable fans"", ""Wifi"", ""Host greets you"", ""Room-darkening shades"", ""Shampoo"", ""Refrigerator"", ""Dishes and silverware"", ""Hammock"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Gas stove"", ""Shower gel"", ""Free street parking"", ""Private patio or balcony"", ""First aid kit"", ""Single level home"", ""Coffee maker: drip coffee maker"", ""Books and reading material"", ""Coffee"", ""Beach essentials"", ""Fire extinguisher"", ""Freezer"", ""Conditioner"", ""Mosquito net"", ""Smoke alarm"", ""Dining table"", ""Outdoor furniture"", ""Body soap"", ""Private entrance"", ""Clothing storage: closet""]",$100.00,3,60,t,4,9,15,227,2025-03-23,461,36,2,159,34,216,21600.0,2010-08-13,2025-03-13,4.82,4.83,4.79,4.96,4.94,4.92,4.88,,f,4
1,1,city scrape,"Seaside Villas 4 2nd Flr - Pool, Beach, Jacuzzi","Right on the beach, this building is in a prime location just one block south of the Caribbean Sprinter Water taxi and another half a block from the San Pedro Water Taxi. The shops, bars and restaurants are all close by on Front Street just to the west. The entrance for the Building is on the side - Adventurer Street. Easy to find on a map app.",604999,2011-05-19,within an hour,100%,,"['email', 'phone']",t,t,Belize Islands,Belize,17.74166,-88.02395,Entire condo,Entire home/apt,6,2.0,2.0,2.0,"[""BBQ grill"", ""Dedicated workspace"", ""Kitchen"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Shared hot tub"", ""Stove"", ""Cooking basics"", ""Hangers"", ""Hot water"", ""Oven"", ""Wifi"", ""Coffee maker"", ""Refrigerator"", ""Shampoo"", ""Iron"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""Patio or balcony"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Free parking on premises"", ""Fire extinguisher"", ""Shared pool"", ""Smoke alarm"", ""AC - split type ductless system"", ""Outdoor furniture"", ""TV with standard cable""]",$706.00,2,730,t,17,33,55,281,2025-03-23,72,10,0,205,12,60,42360.0,2017-04-18,2025-02-06,4.82,4.92,4.87,4.92,4.9,4.99,4.71,,t,18
2,2,city scrape,Valarosa - Sweet cottage,"Valarosa is on Avenida Chechem in a popular residential area which is generally quiet, though not immune to the sounds of village life. You might hear distant music, or animal noises. Nearby is the Suggestion Gourmet french bakery. In the morning you may hear a man on a bicycle cart tooting his horn - he sells a mound of hot fresh corn tortilla for BZ$2.50. Two blocks away is the small Caye Caulker airstrip which takes light aircraft.",604999,2011-05-19,within an hour,100%,,"['email', 'phone']",t,t,Belize Islands,Belize,17.738116,-88.028534,Entire home,Entire home/apt,2,1.0,1.0,1.0,"[""Fire extinguisher"", ""Dedicated workspace"", ""Cooking basics"", ""Smoke alarm"", ""Free parking on premises"", ""TV with standard cable"", ""Air conditioning"", ""Patio or balcony"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Coffee maker"", ""Refrigerator"", ""Iron"", ""Dishes and silverware"", ""Host greets you"", ""Essentials"", ""Long term stays allowed""]",$172.00,2,28,t,16,38,68,315,2025-03-23,87,12,0,262,15,72,12384.0,2016-02-24,2025-01-25,4.6,4.72,4.4,4.86,4.9,4.6,4.56,,t,18
3,3,city scrape,"Toucan-kit, ac, wifi, bike, tropical gardens, pool","LOVE this area of Placencia; quiet, day & night, secure, short walk to beautiful beach as well as local shops & restaurants.",733857,2011-06-23,within an hour,100%,f,"['email', 'phone']",t,f,Stann Creek Mainland,Stann Creek,16.52693,-88.36864,Entire serviced apartment,Entire home/apt,2,1.0,1.0,1.0,"[""BBQ grill"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""42 inch HDTV with Chromecast, Disney+, Fire TV, Hulu, Netflix"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Resort access"", ""Whirlpool stainless steel gas stove"", ""Toaster"", ""Outdoor dining area"", ""Shared backyard \u2013 Fully fenced"", ""Cooking basics"", ""Free washer \u2013 In building"", ""Hangers"", ""Hot water"", ""Oven"", ""Wifi"", ""Coffee maker"", ""Room-darkening shades"", ""Iron"", ""Refrigerator"", ""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Essentials"", ""Long term stays allowed"", ""Free street parking"", ""Barbecue utensils"", ""Private patio or balcony"", ""Bikes"", ""Single level home"", ""Pool view"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Fire extinguisher"", ""Shared outdoor pool - available all year, open specific hours"", ""Smoke alarm"", ""Dining table"", ""AC - split type ductless system"", ""Outdoor furniture"", ""Private entrance"", ""Ceiling fan"", ""Garden view""]",$281.00,7,365,t,20,50,80,89,2025-03-23,73,1,0,89,2,14,3934.0,2011-11-28,2024-03-25,4.86,4.89,4.97,4.92,4.95,4.81,4.86,,t,5
4,4,city scrape,rent a private room in a house,"Quiet neighbourhood, close to shopping centre, restaurants and market.",735525,2011-06-23,within a day,67%,f,"['email', 'phone']",t,t,Cayo,Cayo,17.25428,-88.76771,Private room in home,Private room,1,1.0,1.0,1.0,"[""Fire extinguisher"", ""Lock on bedroom door"", ""Cooking basics"", ""Free parking on premises"", ""TV with standard cable"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Host greets you"", ""Refrigerator"", ""Iron"", ""Dishes and silverware"", ""Essentials"", ""Free street parking""]",$52.00,1,730,t,30,60,90,365,2025-03-23,13,2,0,284,1,12,624.0,2016-03-30,2025-01-14,4.62,4.92,4.77,4.62,4.69,4.62,4.77,,f,1
5,5,previous scrape,King Deluxe,5 minutes walk to center of town<br /><br />Branch Mouth where the two rivers meet 15 minute walk<br /><br />You can also rent golf carts by the hour to drive around the town.,817242,2011-07-13,within an hour,100%,f,"['email', 'phone', 'work_email']",t,t,Cayo,Cayo,17.16427,-89.06909,Private room in resort,Private room,2,,1.0,,"[""Dedicated workspace"", ""Air conditioning"", ""Mini fridge"", ""Paid dryer"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Paid washer"", ""Lake access"", ""HDTV with Netflix"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Pool"", ""Wifi"", ""Room-darkening shades"", ""Shampoo"", ""Iron"", ""Hammock"", ""Essentials"", ""Long term stays allowed"", ""Private patio or balcony"", ""First aid kit"", ""Safe"", ""Free parking on premises"", ""Sun loungers"", ""Fire extinguisher"", ""Smoke alarm"", ""Outdoor furniture"", ""Private entrance"", ""Ceiling fan""]",,1,730,t,17,34,59,274,2025-03-23,44,0,0,233,1,0,,2014-03-16,2024-02-12,4.44,4.42,4.59,4.52,4.48,4.5,4.52,,t,7
6,6,city scrape,Cabana in a Rainforest Setting,We have 2 Restaurants nearby Guava Limb and Hodes also we have a community park on the corner,817242,2011-07-13,within an hour,100%,f,"['email', 'phone', 'work_email']",t,t,Cayo,Cayo,17.16435,-89.06896,Hut,Entire home/apt,4,1.0,1.0,2.0,"[""Dedicated workspace"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Lake access"", ""Waterfront"", ""Dryer"", ""Cooking basics"", ""Washer"", ""Pets allowed"", ""Gym"", ""Hangers"", ""Hot water"", ""Wifi"", ""Host greets you"", ""Room-darkening shades"", ""Shampoo"", ""Iron"", ""Essentials"", ""Long term stays allowed"", ""Private patio or balcony"", ""First aid kit"", ""Safe"", ""Free parking on premises"", ""Fire extinguisher"", ""Shared pool"", ""Smoke alarm"", ""Clothing storage"", ""Exterior security cameras on property"", ""TV with standard cable""]",$246.00,1,730,t,11,29,51,236,2025-03-23,117,4,0,191,10,24,5904.0,2014-03-05,2024-12-19,4.56,4.48,4.54,4.81,4.69,4.76,4.6,,t,7
7,7,city scrape,Finca Placencia oceanfront Private Beach House,"Location location location. Walk next door to Francis Ford Coppola's turtle inn where they have a lovely romantic restaurant with wood fired pizza. Just north of us are a few excellent restaurants as well. Another great Italian restaurant in Los porticos villas and further down the beach, mariposa serving 3 meals a day",1512929,2011-12-17,within a few hours,100%,f,"['email', 'phone']",t,t,Stann Creek Mainland,Stann Creek,16.53274,-88.35957,Entire home,Entire home/apt,4,1.0,1.0,3.0,"[""BBQ grill"", ""Ethernet connection"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Babysitter recommendations"", ""Smoking allowed"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Cleaning products"", ""Paid washer"", ""Stove"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Toaster"", ""Resort access"", ""Outdoor dining area"", ""Waterfront"", ""Board games"", ""Cooking basics"", ""Ocean view"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Oven"", ""Portable fans"", ""Wifi"", ""Host greets you"", ""Room-darkening shades"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Hammock"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Barbecue utensils"", ""Bathtub"", ""First aid kit"", ""Baking sheet"", ""Shared patio or balcony"", ""Private backyard \u2013 Not fully fenced"", ""Outdoor shower"", ""TV"", ""Books and reading material"", ""Bikes"", ""Safe"", ""Single level home"", ""Blender"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Coffee"", ""Courtyard view"", ""Beach essentials"", ""Free parking on premises"", ""Fire extinguisher"", ""Freezer"", ""Beach view"", ""Clothing storage: wardrobe and dresser"", ""Mosquito net"", ""Smoke alarm"", ""Dining table"", ""Outdoor furniture"", ""Body soap"", ""Private entrance"", ""Ceiling fan"", ""Garden view""]",$181.00,2,365,t,23,47,77,352,2025-03-23,153,8,0,271,11,48,8688.0,2012-06-20,2025-02-18,4.65,4.69,4.52,4.83,4.76,4.89,4.66,,f,4
8,8,city scrape,Finca Placencia Beachfront treetop cabana,Finca is located next to Turtle Inn on 200 feet of beachfront.<br /> I chose to settle in Placencia because I fell in love with the village which has a tightly knit community and I did not feel like I stuck out as a gringo there. FInca is just a quick ride out of town so you have some privacy and still have easy access to the village.,1512929,2011-12-17,within a few hours,100%,f,"['email', 'phone']",t,t,Stann Creek Mainland,Stann Creek,16.53271,-88.35972,Entire bungalow,Entire home/apt,3,1.0,0.0,2.0,"[""BBQ grill"", ""Ethernet connection"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Smoking allowed"", ""Bed linens"", ""Mini fridge"", ""Wine glasses"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib"", ""Kayak"", ""Hair dryer"", ""Cleaning products"", ""Resort access"", ""Stove"", ""Toaster"", ""Shared backyard \u2013 Not fully fenced"", ""Outdoor dining area"", ""Free parking garage on premises"", ""Luggage dropoff allowed"", ""Waterfront"", ""Cooking basics"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Portable fans"", ""Wifi"", ""Host greets you"", ""Shampoo"", ""Hammock"", ""Dishes and silverware"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Shower gel"", ""Barbecue utensils"", ""Private patio or balcony"", ""First aid kit"", ""Bikes"", ""Outdoor shower"", ""Safe"", ""Blender"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Coffee"", ""Beach essentials"", ""Fire extinguisher"", ""Conditioner"", ""Mosquito net"", ""Smoke alarm"", ""Dining table"", ""Kitchenette"", ""Clothing storage"", ""Exterior security cameras on property"", ""Coffee maker: drip coffee maker, french press"", ""Outdoor furniture"", ""Housekeeping - available at extra cost"", ""Body soap"", ""Private entrance"", ""Ceiling fan"", ""Garden view""]",$184.00,1,365,t,21,48,78,353,2025-03-23,190,3,1,272,5,18,3312.0,2012-02-28,2025-02-28,4.79,4.81,4.78,4.84,4.81,4.86,4.81,,f,4
9,9,city scrape,Villa San Juan,,1586187,2012-01-09,within a few hours,100%,f,"['email', 'phone']",t,t,Cayo,Cayo,17.25719,-88.77812,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,"[""Dryer"", ""Washer"", ""Breakfast"", ""Air conditioning"", ""Hot water"", ""Pool"", ""Wifi"", ""TV with standard cable""]",$232.00,1,1125,t,29,59,87,362,2025-03-23,15,4,0,281,3,24,5568.0,2014-11-30,2025-01-22,4.93,5.0,4.93,4.93,5.0,4.71,4.86,,f,1
