,Unnamed: 0,source,name,neighborhood_overview,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count
0,0,city scrape,Mo's Cozy Cabana,"The cabana is just a moments walk to 'The Split', where the island is split in two and which is the most popular spot for swimming, snorkeling or to have a drink at the famous bar 'the Lazy Lizard'. The main street -Front Street- is right around the corner. Here you'll find several restaurants, supermarkets, souvenir shops and food- and fruit stands. The many local people you meet are always in for a chat. The part of the island where the cabana is located is only 100 yards wide so the sea & beach are always nearby.",157752,2010-07-03,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.74832,-88.02474,Tiny home,Entire home/apt,2,1.0,0.0,1.0,"[""Backyard"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Laundromat nearby"", ""Kayak"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Toaster"", ""Outdoor dining area"", ""Board games"", ""Cooking basics"", ""Hangers"", ""Oven"", ""Portable fans"", ""Wifi"", ""Host greets you"", ""Room-darkening shades"", ""Shampoo"", ""Refrigerator"", ""Dishes and silverware"", ""Hammock"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Gas stove"", ""Shower gel"", ""Free street parking"", ""Private patio or balcony"", ""First aid kit"", ""Single level home"", ""Coffee maker: drip coffee maker"", ""Books and reading material"", ""Coffee"", ""Beach essentials"", ""Fire extinguisher"", ""Freezer"", ""Conditioner"", ""Mosquito net"", ""Smoke alarm"", ""Dining table"", ""Outdoor furniture"", ""Body soap"", ""Private entrance"", ""Clothing storage: closet""]",$100.00,3,60,t,4,9,15,227,2025-03-23,461,36,2,159,34,216,21600.0,2010-08-13,2025-03-13,4.82,4.83,4.79,4.96,4.94,4.92,4.88,,f,4
13,13,city scrape,Casa Belize - Cozy Studio Apartment,"This neighborhood is made up of mainly professional, upper middle class families. It is very quiet, and a welcome escape from the bustling, noisy city life.",2917510,2012-07-12,within an hour,100%,t,"['email', 'phone']",t,t,Belize Mainland,Belize,17.51173,-88.22397,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,"[""Dedicated workspace"", ""Backyard"", ""Air conditioning"", ""Kitchen"", ""Hair dryer"", ""Stove"", ""Crib"", ""Dryer"", ""Cooking basics"", ""Washer"", ""Hangers"", ""Hot water"", ""Oven"", ""Wifi"", ""Coffee maker"", ""Refrigerator"", ""Shampoo"", ""Iron"", ""Dishes and silverware"", ""Essentials"", ""Long term stays allowed"", ""Free street parking"", ""First aid kit"", ""Microwave"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Fire extinguisher"", ""Smoke alarm"", ""Private entrance"", ""TV with standard cable""]",$145.00,1,1125,t,24,52,82,85,2025-03-23,38,6,0,85,6,36,5220.0,2013-02-19,2025-02-18,4.87,4.86,4.89,4.95,5.0,4.54,4.68,,f,6
14,14,city scrape,Sunny Cabana,"The cabana is located just outside the village in a mostly residential area. Caye Caulker is a small island and all the restaurants, shops, supermarkets, dive-/snorkel tour operators are within a 10-15 minute walk/5-10 minute bike ride. The sea and beach are a 3 minute walk away and within 10-15 minutes on the bike you're at 'The Split', a popular spot for swimming, snorkeling or hanging out at the famous 'Lazy Lizard Bar'.",157752,2010-07-03,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.7361,-88.02777,Entire cottage,Entire home/apt,2,1.0,0.0,2.0,"[""Extra pillows and blankets"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Stove"", ""Toaster"", ""Outdoor dining area"", ""Board games"", ""Cooking basics"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Oven"", ""Portable fans"", ""Wifi"", ""Shampoo"", ""Refrigerator"", ""Dishes and silverware"", ""Hammock"", ""Hot water kettle"", ""Essentials"", ""Private backyard \u2013 Fully fenced"", ""Free street parking"", ""Shower gel"", ""Long term stays allowed"", ""Private patio or balcony"", ""First aid kit"", ""Baking sheet"", ""Bikes"", ""Coffee maker: drip coffee maker"", ""Books and reading material"", ""Safe"", ""Blender"", ""Microwave"", ""Coffee"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Fire extinguisher"", ""Freezer"", ""Smoke alarm"", ""Dining table"", ""47 inch HDTV"", ""AC - split type ductless system"", ""Outdoor furniture"", ""Body soap"", ""Private entrance"", ""Clothing storage: closet""]",$109.00,3,62,t,2,23,53,252,2025-03-23,243,13,0,247,12,78,8502.0,2013-01-20,2025-01-07,4.79,4.9,4.73,4.91,4.95,4.74,4.82,,f,4
17,17,city scrape,Home Away From Home Desirable Area,"This neighborhood is made up of mainly professional, upper middle class families. It is very quiet, and a welcome escape from the bustling, noisy city life.",2917510,2012-07-12,within an hour,100%,t,"['email', 'phone']",t,t,Belize Mainland,Belize,17.51103,-88.22488,Entire home,Entire home/apt,8,2.0,4.0,5.0,"[""Backyard"", ""Extra pillows and blankets"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Crib - available upon request"", ""Stove"", ""Toaster"", ""Outdoor dining area"", ""Waterfront"", ""Dryer"", ""Cooking basics"", ""Hangers"", ""Hot water"", ""Oven"", ""Portable fans"", ""55 inch HDTV with premium cable, DVD player"", ""Wifi"", ""Shampoo"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Free street parking"", ""First aid kit"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Patio or balcony"", ""Safe"", ""Blender"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Fire extinguisher"", ""Freezer"", ""Smoke alarm"", ""Dining table"", ""Clothing storage: walk-in closet, closet, and dresser"", ""AC - split type ductless system"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Body soap"", ""Private entrance"", ""Ceiling fan"", ""Coffee maker""]",$460.00,1,1125,t,23,52,78,78,2025-03-23,132,22,3,78,25,132,60720.0,2015-05-23,2025-03-07,4.9,4.96,4.96,4.97,5.0,4.71,4.91,,f,6
18,18,city scrape,Comfy Cabana Tropical Caye Caulker,Everything on the island is within walking distance.  There are grocery stores and restaurants just blocks away.,2267459,2012-05-01,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.7409,-88.02666,Entire bungalow,Entire home/apt,4,2.0,2.0,2.0,"[""BBQ grill"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Stove"", ""Cooking basics"", ""Pets allowed"", ""Hot water"", ""Oven"", ""Wifi"", ""Coffee maker"", ""Refrigerator"", ""Shampoo"", ""Dishes and silverware"", ""Essentials"", ""Long term stays allowed"", ""Single level home"", ""Patio or balcony"", ""Microwave"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Fire extinguisher"", ""Shared pool"", ""Smoke alarm"", ""TV with standard cable""]",$202.00,2,1125,t,3,18,48,308,2025-03-23,317,45,5,234,43,255,51510.0,2014-01-11,2025-03-08,4.78,4.81,4.84,4.84,4.82,4.69,4.77,,t,4
20,20,city scrape,Unique Belize City Apartment -  Casa Fabro Belize,"Our neighborhood is quiet, nice, in walking distance from downtown where you can find banks, shopping, tourist area and water taxi's to the islands. The sea front is about 75 feet from our home. You can sit on the sea wall and enjoy the Caribbean Sea and the entire bay view.",5792357,2013-04-06,within an hour,100%,t,"['email', 'phone', 'work_email']",t,t,Belize Mainland,Belize,17.4899,-88.18759,Entire home,Entire home/apt,6,2.5,3.0,3.0,"[""Free dryer \u2013 In building"", ""Ethernet connection"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Bay view"", ""Bed linens"", ""Kitchen"", ""Wine glasses"", ""Laundromat nearby"", ""32 inch HDTV with Netflix, Fire TV"", ""Mabe gas stove"", ""Hair dryer"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Toaster"", ""Outdoor dining area"", ""Shared BBQ grill: charcoal"", ""Shared backyard \u2013 Fully fenced"", ""Waterfront"", ""Mabe oven"", ""Free parking garage on premises \u2013 1 space"", ""Board games"", ""Irish Spring  body soap"", ""Cooking basics"", ""Ocean view"", ""Pets allowed"", ""Free washer \u2013 In building"", ""Hangers"", ""Hot water"", ""Portable fans"", ""Wifi"", ""Host greets you"", ""Shampoo"", ""Room-darkening shades"", ""Iron"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Free street parking"", ""Shower gel"", ""Bathtub"", ""First aid kit"", ""Baking sheet"", ""Shared patio or balcony"", ""Coffee maker: drip coffee maker"", ""Books and reading material"", ""Single level home"", ""Safe"", ""Mabe  refrigerator"", ""Blender"", ""Microwave"", ""Coffee"", ""Lockbox"", ""Courtyard view"", ""Clothing storage: closet and dresser"", ""Self check-in"", ""Fire extinguisher"", ""Freezer"", ""Conditioner"", ""Smoke alarm"", ""Dining table"", ""AC - split type ductless system"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Private entrance"", ""Garden view"", ""Harbor view""]",$190.00,2,1125,t,20,39,64,327,2025-03-23,149,34,4,247,27,204,38760.0,2015-01-03,2025-03-20,4.91,4.95,4.93,4.98,4.97,4.74,4.91,,f,1
25,25,city scrape,Weezie's Purple Cottage with a pool,The Cottages are located on a quiet back street in a residential neighborhood. The Garden Cottages are 2 blocks for the Oceanfront Hotel. The lots to the north is undeveloped and helps add to the privacy and tranquility of the location.,6334784,2013-05-11,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.73727,-88.02978,Room in aparthotel,Entire home/apt,2,1.0,1.0,1.0,"[""Air conditioning"", ""Kitchen"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dryer"", ""Washer"", ""Hangers"", ""Hot water"", ""Pool"", ""Wifi"", ""Host greets you"", ""Shampoo"", ""Carbon monoxide alarm"", ""Essentials"", ""Free street parking"", ""Free parking on premises"", ""Fire extinguisher"", ""Smoke alarm"", ""Exterior security cameras on property"", ""TV with standard cable""]",$443.00,1,1125,t,3,16,34,210,2025-03-23,21,1,0,210,1,6,2658.0,2013-07-15,2024-12-07,4.67,5.0,4.8,5.0,4.9,4.48,4.57,,t,13
26,26,city scrape,Belize Waterfront - Orchid Bay Casita 9A,We love the peace and quiet that comes with staying here. The security of the property is wonderful and those that live here are fun to visit with. We are located between the small villages of Copper Bank and Chunox.,89385464,2016-08-11,within an hour,100%,t,"['email', 'phone']",t,f,Corozal,Corozal,18.32853,-88.32882,Entire home,Entire home/apt,6,1.0,2.0,2.0,"[""Backyard"", ""Bay view"", ""Air conditioning"", ""Kitchen"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Stove"", ""Dryer"", ""Cooking basics"", ""Washer"", ""Hangers"", ""Hot water"", ""Oven"", ""Wifi"", ""Refrigerator"", ""Shampoo"", ""Iron"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Long term stays allowed"", ""Private patio or balcony"", ""First aid kit"", ""TV"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Free parking on premises"", ""Dishwasher"", ""Fire extinguisher"", ""Beach view"", ""Shared pool"", ""Smoke alarm"", ""Coffee maker""]",$404.00,2,1125,t,13,41,71,316,2025-03-23,39,1,0,265,1,6,2424.0,2013-12-31,2024-11-27,4.85,4.92,4.85,4.79,4.9,4.56,4.72,,f,3
27,27,city scrape,Casa Belize Modern 2 Bedroom Apartment,"This neighborhood, located just 2.5 miles outside the city, is made up of mainly professional, upper middle class families. It is very quiet, and a welcome escape from the bustling, noisy city life. Close to public transportation, restaurants and supermarkets.",2917510,2012-07-12,within an hour,100%,t,"['email', 'phone']",t,t,Belize Mainland,Belize,17.50913,-88.22399,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,"[""Dedicated workspace"", ""Backyard"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Stove"", ""Crib"", ""Dryer"", ""Cooking basics"", ""Washer"", ""Hangers"", ""Hot water"", ""Oven"", ""Wifi"", ""Coffee maker"", ""Shampoo"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Long term stays allowed"", ""Free street parking"", ""Shower gel"", ""First aid kit"", ""Baking sheet"", ""Single level home"", ""Microwave"", ""Lockbox"", ""Free parking on premises"", ""Self check-in"", ""Fire extinguisher"", ""Smoke alarm"", ""Private entrance"", ""TV with standard cable""]",$281.00,1,1125,t,13,34,61,136,2025-03-23,40,6,0,136,5,36,10116.0,2016-11-14,2025-01-19,4.88,4.93,4.93,4.88,4.98,4.48,4.85,,f,6
28,28,city scrape,*Picololo North Studio Apartment,"The neighbourhood is a quiet, residential area. It's amazing for bird watching and we have a huge strangler fig tree in our yard that many types of birds come to eat from.",727841,2011-06-21,within an hour,100%,t,"['email', 'phone']",t,t,Belize Islands,Belize,17.73786,-88.02817,Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,"[""BBQ grill"", ""Outdoor playground"", ""Extra pillows and blankets"", ""Babysitter recommendations"", ""Bed linens"", ""Kitchen"", ""Laundromat nearby"", ""Mabe gas stove"", ""Luggage dropoff allowed"", ""Toaster"", ""Outdoor dining area"", ""Cooking basics"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hangers"", ""Hot water"", ""Oven"", ""Portable fans"", ""Host greets you"", ""Room-darkening shades"", ""Shampoo"", ""Wifi \u2013 42 Mbps"", ""Refrigerator"", ""Dishes and silverware"", ""Hot water kettle"", ""Essentials"", ""Private backyard \u2013 Fully fenced"", ""Hammock"", ""Shower gel"", ""Free street parking"", ""Barbecue utensils"", ""Private patio or balcony"", ""First aid kit"", ""Baking sheet"", ""Bikes"", ""Coffee maker: drip coffee maker"", ""Books and reading material"", ""Single level home"", ""20 inch TV with Netflix, Fire TV"", ""Housekeeping available 6 hours a day, every day - included with your stay"", ""Microwave"", ""Coffee"", ""Children\u2019s bikes"", ""Free parking on premises"", ""Fire extinguisher"", ""Freezer"", ""Conditioner"", ""Smoke alarm"", ""Dining table"", ""AC - split type ductless system"", ""Outdoor furniture"", ""Body soap"", ""Ceiling fan"", ""Garden view"", ""Clothing storage: closet""]",$192.00,3,28,t,1,16,46,131,2025-03-23,265,21,1,131,28,126,24192.0,2013-12-20,2025-02-21,4.97,4.97,4.99,4.99,4.98,4.86,4.94,,t,5
