,source,neighborhood_overview,host_since,host_response_rate,host_verifications,host_identity_verified,neighbourhood_group_cleansed,longitude,room_type,bathrooms,beds,price,maximum_nights,availability_30,availability_90,calendar_last_scraped,number_of_reviews_ltm,availability_eoy,estimated_occupancy_l365d,first_review,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable
0,city scrape,"The cabana is just a moments walk to 'The Split', where the island is split in two and which is the most popular spot for swimming, snorkeling or to have a drink at the famous bar 'the Lazy Lizard'. The main street -Front Street- is right around the corner. Here you'll find several restaurants, supermarkets, souvenir shops and food- and fruit stands. The many local people you meet are always in for a chat. The part of the island where the cabana is located is only 100 yards wide so the sea & beach are always nearby.",2010-07-03,100%,"['email', 'phone']",t,Belize,-88.02474,Entire home/apt,1.0,1.0,$100.00,60,4,15,2025-03-23,36,159,216,2010-08-13,4.82,4.79,4.94,4.88,f
1,city scrape,"Right on the beach, this building is in a prime location just one block south of the Caribbean Sprinter Water taxi and another half a block from the San Pedro Water Taxi. The shops, bars and restaurants are all close by on Front Street just to the west. The entrance for the Building is on the side - Adventurer Street. Easy to find on a map app.",2011-05-19,100%,"['email', 'phone']",t,Belize,-88.02395,Entire home/apt,2.0,2.0,$706.00,730,17,55,2025-03-23,10,205,60,2017-04-18,4.82,4.87,4.9,4.71,t
2,city scrape,"Valarosa is on Avenida Chechem in a popular residential area which is generally quiet, though not immune to the sounds of village life. You might hear distant music, or animal noises. Nearby is the Suggestion Gourmet french bakery. In the morning you may hear a man on a bicycle cart tooting his horn - he sells a mound of hot fresh corn tortilla for BZ$2.50. Two blocks away is the small Caye Caulker airstrip which takes light aircraft.",2011-05-19,100%,"['email', 'phone']",t,Belize,-88.028534,Entire home/apt,1.0,1.0,$172.00,28,16,68,2025-03-23,12,262,72,2016-02-24,4.6,4.4,4.9,4.56,t
3,city scrape,"LOVE this area of Placencia; quiet, day & night, secure, short walk to beautiful beach as well as local shops & restaurants.",2011-06-23,100%,"['email', 'phone']",f,Stann Creek,-88.36864,Entire home/apt,1.0,1.0,$281.00,365,20,80,2025-03-23,1,89,14,2011-11-28,4.86,4.97,4.95,4.86,t
4,city scrape,"Quiet neighbourhood, close to shopping centre, restaurants and market.",2011-06-23,67%,"['email', 'phone']",t,Cayo,-88.76771,Private room,1.0,1.0,$52.00,730,30,90,2025-03-23,2,284,12,2016-03-30,4.62,4.77,4.69,4.77,f
5,previous scrape,5 minutes walk to center of town<br /><br />Branch Mouth where the two rivers meet 15 minute walk<br /><br />You can also rent golf carts by the hour to drive around the town.,2011-07-13,100%,"['email', 'phone', 'work_email']",t,Cayo,-89.06909,Private room,,,,730,17,59,2025-03-23,0,233,0,2014-03-16,4.44,4.59,4.48,4.52,t
6,city scrape,We have 2 Restaurants nearby Guava Limb and Hodes also we have a community park on the corner,2011-07-13,100%,"['email', 'phone', 'work_email']",t,Cayo,-89.06896,Entire home/apt,1.0,2.0,$246.00,730,11,51,2025-03-23,4,191,24,2014-03-05,4.56,4.54,4.69,4.6,t
7,city scrape,"Location location location. Walk next door to Francis Ford Coppola's turtle inn where they have a lovely romantic restaurant with wood fired pizza. Just north of us are a few excellent restaurants as well. Another great Italian restaurant in Los porticos villas and further down the beach, mariposa serving 3 meals a day",2011-12-17,100%,"['email', 'phone']",t,Stann Creek,-88.35957,Entire home/apt,1.0,3.0,$181.00,365,23,77,2025-03-23,8,271,48,2012-06-20,4.65,4.52,4.76,4.66,f
8,city scrape,Finca is located next to Turtle Inn on 200 feet of beachfront.<br /> I chose to settle in Placencia because I fell in love with the village which has a tightly knit community and I did not feel like I stuck out as a gringo there. FInca is just a quick ride out of town so you have some privacy and still have easy access to the village.,2011-12-17,100%,"['email', 'phone']",t,Stann Creek,-88.35972,Entire home/apt,1.0,2.0,$184.00,365,21,78,2025-03-23,3,272,18,2012-02-28,4.79,4.78,4.81,4.81,f
9,city scrape,,2012-01-09,100%,"['email', 'phone']",t,Cayo,-88.77812,Private room,1.0,1.0,$232.00,1125,29,87,2025-03-23,4,281,24,2014-11-30,4.93,4.93,5.0,4.86,f
10,city scrape,"This rental is centrally located just two blocks from the George Price Center of Peace and Development, a Shopping Center, laundromat, eateries, vegetable market and corner shop.  Public transport is a stone's throw away.  Belmopan is centrally located in Belize, with public buses to the north, south, east and west.  Belmopan is home to the national university and is the seat of government.  Everything, including schools, medical facilities, banks, parks, tennis and basketball courts, are within walking or biking distance.",2012-04-03,100%,"['email', 'phone', 'work_email']",t,Cayo,-88.76021,Private room,1.0,3.0,$143.00,365,30,90,2025-03-23,0,284,0,2012-11-11,4.6,4.89,5.0,4.78,f
11,city scrape,Our village is small (pop. 1000) but lively (6 bars & 6 churches).  But Lower Dover is on the fringe of town & secluded & quiet.   The neighbors you'll see will all be wild animals & birds since we are surrounded by jungle and waterways.,2012-04-06,100%,"['email', 'phone']",t,Cayo,-88.94560241699219,Private room,1.0,2.0,$186.00,365,20,67,2025-03-23,1,259,6,2014-03-15,4.77,4.73,4.69,4.65,t
12,city scrape,"Burrell Boom is a lovely little rural village along the banks of the Old Belize river. The people here are extremely friendly. If you walk up to the village and stop for some food at Miss Carol's, a cold beer at Yellow Man's pub - right next door, you will be enchanted by this little village. If you want to do some Reggie dancing, head down to Henderson's Bank on Friday or Saturday night, just follow the music -- you can walk, but bring the flashlight! Everyone will welcome you. This is a small friendly village and I hope you will have the opportunity to meet and enjoy the company and food of the local people - they are wonderful. The Black Orchid is a 15 minute walk down a lovely rural road. Or, a ten minute bike ride - the house has two bikes, And, once you arrive, you can have a cool drink and slip into the pool: ahhhhhh. They will treat you like gold, slowly.",2018-05-17,100%,"['email', 'phone']",t,Belize,-88.39648,Entire home/apt,1.0,2.0,$197.00,365,19,65,2025-03-23,31,259,186,2013-01-30,4.75,4.81,4.87,4.59,t
13,city scrape,"This neighborhood is made up of mainly professional, upper middle class families. It is very quiet, and a welcome escape from the bustling, noisy city life.",2012-07-12,100%,"['email', 'phone']",t,Belize,-88.22397,Entire home/apt,1.0,2.0,$145.00,1125,24,82,2025-03-23,6,85,36,2013-02-19,4.87,4.89,5.0,4.68,f
14,city scrape,"The cabana is located just outside the village in a mostly residential area. Caye Caulker is a small island and all the restaurants, shops, supermarkets, dive-/snorkel tour operators are within a 10-15 minute walk/5-10 minute bike ride. The sea and beach are a 3 minute walk away and within 10-15 minutes on the bike you're at 'The Split', a popular spot for swimming, snorkeling or hanging out at the famous 'Lazy Lizard Bar'.",2010-07-03,100%,"['email', 'phone']",t,Belize,-88.02777,Entire home/apt,1.0,2.0,$109.00,62,2,53,2025-03-23,13,247,78,2013-01-20,4.79,4.73,4.95,4.82,f
15,city scrape,"LOVE the location on the Placencia peninsula, offering both distant sunrise & sunset views. Quiet & secure neighborhood with sea breezes. Short walk to beautiful beach, shops, bars & restaurants, as well as bank with ATM, tour operators, car & golf cart rentals & more.......",2011-06-23,100%,"['email', 'phone']",f,Stann Creek,-88.37085,Entire home/apt,2.0,2.0,$250.00,180,30,90,2025-03-23,2,161,28,2013-04-29,4.81,4.93,4.82,4.7,t
16,city scrape,"This is a quiet secure community located between a few very small villages. There are a few weekly evening events where you will have the opportunity to connect with residents, locals or other guests.",2012-10-11,,"['email', 'phone', 'work_email']",t,Corozal,-88.32932,Entire home/apt,1.0,4.0,$402.00,365,30,90,2025-03-23,0,284,0,2013-12-31,4.79,5.0,4.95,4.63,f
17,city scrape,"This neighborhood is made up of mainly professional, upper middle class families. It is very quiet, and a welcome escape from the bustling, noisy city life.",2012-07-12,100%,"['email', 'phone']",t,Belize,-88.22488,Entire home/apt,2.0,5.0,$460.00,1125,23,78,2025-03-23,22,78,132,2015-05-23,4.9,4.96,5.0,4.91,f
18,city scrape,Everything on the island is within walking distance.  There are grocery stores and restaurants just blocks away.,2012-05-01,100%,"['email', 'phone']",t,Belize,-88.02666,Entire home/apt,2.0,2.0,$202.00,1125,3,48,2025-03-23,45,234,255,2014-01-11,4.78,4.84,4.82,4.77,t
19,city scrape,"Placencia Village is a charming, laid-back coastal community with a friendly, welcoming atmosphere. The neighborhood is filled with colorful homes, beachfront resorts, and local businesses. You'll find a mix of small cafes, vibrant restaurants, and unique shops, all within walking distance. The village is known for its peaceful vibe, beautiful beaches, and stunning sunsets. It's the perfect place to relax and immerse yourself in the beauty and culture of Belize.",2013-03-31,100%,"['email', 'phone']",t,Stann Creek,-88.35821,Entire home/apt,5.0,4.0,"$1,990.00",120,14,39,2025-03-23,5,217,30,2024-03-02,5.0,5.0,5.0,5.0,f
20,city scrape,"Our neighborhood is quiet, nice, in walking distance from downtown where you can find banks, shopping, tourist area and water taxi's to the islands. The sea front is about 75 feet from our home. You can sit on the sea wall and enjoy the Caribbean Sea and the entire bay view.",2013-04-06,100%,"['email', 'phone', 'work_email']",t,Belize,-88.18759,Entire home/apt,2.5,3.0,$190.00,1125,20,64,2025-03-23,34,247,204,2015-01-03,4.91,4.93,4.97,4.91,f
21,previous scrape,,2013-04-26,,"['email', 'phone']",f,Belize,-88.24955,Entire home/apt,,,,28,0,0,2025-03-23,0,0,0,,,,,,f
22,city scrape,"Bay Breezes is located in a residential neighborhood with a taxi, Julio, right across the street and a grocery store within stone's throw distance. Another supermarket is a two minute walk away.  There are several small local food vendors in the area.  You can clearly see the Bay from the rooftop.",2011-08-02,100%,"['email', 'phone']",t,Belize,-88.03293,Entire home/apt,1.0,1.0,$131.00,1125,18,78,2025-03-23,21,272,126,2013-08-14,4.6,4.7,4.82,4.65,f
23,city scrape,"Bay Breezes is located in a residential neighbourhood with a taxi, Julio, right across the street and a grocery store within stone's throw distance. Another supermarket is a two minute walk away.  There are several small local food vendors in the area.  You can clearly see the Bay from the rooftop.",2011-08-02,100%,"['email', 'phone']",t,Belize,-88.03293,Entire home/apt,1.0,1.0,$109.00,1125,30,90,2025-03-23,9,284,54,2013-05-11,4.41,4.5,4.7,4.43,f
24,city scrape,"Bay Breezes is located in a residential neighbourhood with a taxi, Julio, right across the street and a grocery store within stone's throw distance. Another supermarket is a two minute walk away.  There are several small local food vendors in the area.  You can clearly see the Bay from the rooftop.",2011-08-02,100%,"['email', 'phone']",t,Belize,-88.03293,Entire home/apt,1.0,1.0,$89.00,1125,12,72,2025-03-23,20,266,120,2013-10-31,4.37,4.43,4.72,4.45,f
25,city scrape,The Cottages are located on a quiet back street in a residential neighborhood. The Garden Cottages are 2 blocks for the Oceanfront Hotel. The lots to the north is undeveloped and helps add to the privacy and tranquility of the location.,2013-05-11,100%,"['email', 'phone']",t,Belize,-88.02978,Entire home/apt,1.0,1.0,$443.00,1125,3,34,2025-03-23,1,210,6,2013-07-15,4.67,4.8,4.9,4.57,t
26,city scrape,We love the peace and quiet that comes with staying here. The security of the property is wonderful and those that live here are fun to visit with. We are located between the small villages of Copper Bank and Chunox.,2016-08-11,100%,"['email', 'phone']",f,Corozal,-88.32882,Entire home/apt,1.0,2.0,$404.00,1125,13,71,2025-03-23,1,265,6,2013-12-31,4.85,4.85,4.9,4.72,f
27,city scrape,"This neighborhood, located just 2.5 miles outside the city, is made up of mainly professional, upper middle class families. It is very quiet, and a welcome escape from the bustling, noisy city life. Close to public transportation, restaurants and supermarkets.",2012-07-12,100%,"['email', 'phone']",t,Belize,-88.22399,Entire home/apt,2.0,2.0,$281.00,1125,13,61,2025-03-23,6,136,36,2016-11-14,4.88,4.93,4.98,4.85,f
28,city scrape,"The neighbourhood is a quiet, residential area. It's amazing for bird watching and we have a huge strangler fig tree in our yard that many types of birds come to eat from.",2011-06-21,100%,"['email', 'phone']",t,Belize,-88.02817,Entire home/apt,1.0,2.0,$192.00,28,1,46,2025-03-23,21,131,126,2013-12-20,4.97,4.99,4.98,4.94,t
29,city scrape,"The neighbourhood is a quiet, residential area. It's amazing for bird watching and we have a huge strangler fig tree in our yard that many types of birds come to eat from.",2011-06-21,100%,"['email', 'phone']",t,Belize,-88.02814,Entire home/apt,1.0,2.0,$192.00,28,1,57,2025-03-23,18,142,108,2014-01-09,4.97,4.97,4.99,4.92,t
